timestamp,event,attention_state,window
2026-03-13 23:17:58.374023,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.380729,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.387716,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.402076,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.409433,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.430174,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.451183,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.487067,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.501205,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.572262,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.608128,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.614784,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.629601,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.643225,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.649747,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:17:58.686036,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:00.947619,mouse_click,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.216914,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.231419,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.252459,mouse_click,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.924556,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:02.933344,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
